epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.004,0.86683,1.74072,1.30044,0.82335,0.51493,0.77443,0.46952,1.06194,2.40876,1.26144,0.000652174,0.000652174,0.000652174
2,235.965,0.87947,1.30225,1.27836,0.8831,0.8209,0.91177,0.62906,1.01397,1.75967,1.38359,0.00118828,0.00118828,0.00118828
3,362.137,0.98811,1.22139,1.32239,0.79702,0.82048,0.86328,0.57593,1.04856,1.76296,1.26625,0.00159238,0.00159238,0.00159238
4,486.572,0.96975,1.04544,1.3133,0.55556,0.67165,0.60446,0.33346,1.2939,2.13872,1.44447,0.001406,0.001406,0.001406
5,623.837,0.90031,0.9384,1.27257,0.89137,0.92537,0.9328,0.62074,1.06085,1.35677,1.23436,0.001208,0.001208,0.001208
6,772.653,0.82955,0.80236,1.18804,0.95151,0.94776,0.98112,0.7514,0.81059,0.7794,1.02202,0.00101,0.00101,0.00101
7,912.774,0.78857,0.72387,1.18875,0.94724,0.94776,0.97189,0.75011,0.84671,0.75071,1.05242,0.000812,0.000812,0.000812
8,19819.9,0.75471,0.64734,1.17187,0.93352,0.91791,0.96746,0.77673,0.74803,0.71484,0.97264,0.000614,0.000614,0.000614
