epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.142,0.97992,1.98022,1.46931,0.88863,0.29774,0.75053,0.43294,1.03354,3.52433,1.76634,0.000652174,0.000652174,0.000652174
2,1146.08,1.09678,1.65496,1.54188,0.34477,0.49085,0.36199,0.12582,2.23866,8.02902,3.99387,0.00129273,0.00129273,0.00129273
3,1866.07,1.17007,1.57664,1.59844,0.46201,0.66418,0.53011,0.20587,1.93286,2.86493,3.01659,0.00190688,0.00190688,0.00190688
4,2788.95,1.23103,1.46458,1.63572,0.2405,0.18657,0.14202,0.05958,2.82051,3.97724,3.51058,0.0018812,0.0018812,0.0018812
5,11661.3,1.14616,1.23588,1.55684,0.55386,0.55224,0.52561,0.15606,2.08339,2.31619,2.73856,0.0018416,0.0018416,0.0018416
6,12401.8,1.14112,1.17394,1.52975,0.72624,0.57412,0.61813,0.28357,1.81938,1.75481,2.30614,0.001802,0.001802,0.001802
